Type,Vehicle name,Frequency
FHV,0c82df4c5b26844264d8f2235bb713b4,19.84615385
FHV,0c892cc6e4d64317cddf5ab466dcd8d0,11.8
FHV,0ca92ea996c13a884b6d184a23ed9c46,5.2
FHV,0ca93c33f3d78f13d9a0a473a46abfe4,1
FHV,0cb021b33b8e3355abc9dd1513affae6,12.2
FHV,0cc1f46cdfa269e7a4d4a4a7af6e7e73,10.4
FHV,0ccf6454a9b09bc4c0d9e7da4ae48766,14.6875
FHV,0cd5143edf00d4c63ce69c28d425a2e9,11.3
FHV,0cd5790665ab2a5596f72ef991fed117,11.03846154
FHV,0cda4219298e57714e608769fdb63073,15.4
FHV,0d0601253eb98e4dcd3d67d8484f905f,16.025
FHV,0d2c415ffbb4d528c8d1025963ff078d,2
FHV,0d4a0506a1c7818119ef2ca661a03233,7.625
FHV,0d534199664f35db7cc105b017e5d102,17.5
FHV,0d60a51b5069887499bf74265d05c9f9,6.727272727
FHV,0d6313841004d8831a3f81dffd9456fd,13.88
FHV,0d6c0db194874005775f2485b8a86af3,3.75
FHV,0dd7c7583ad6b63bbff14e0231a8d96c,3.6
FHV,0ddee37e02bc0e39907d3db99ac2a771,5.25
FHV,0de1126b1ce4e09c94361bfb8165ad59,26.91666667
FHV,0de19589709cf4136bfb0d0b6038f20b,19.5625
FHV,0df6bf876e07cf5aeb07b60ad7e75a40,2.272727273
FHV,0e006923a52dd8a451d49313a2c047ac,5.545454545
FHV,0e630afe40ffc0e9b05b5b618433d3bd,20.375
FHV,0f3f186488e55b5aed74841e16b26ae5,1
FHV,0f5a9ee8c7711cf77eac7db8dd13e480,12.14285714
FHV,0faf5e1d5e2a64a3c0833de5f6d878e5,3.375
FHV,0fbe0bcb497d7002e78c72dfc52a9e66,12.15789474
FHV,100f0b14a04ff407d34d70ed780255c0,8.324324324
FHV,10217102c5c02b49e539bf6bd0ec04c2,7
FHV,106003367ea047cd0a64da37837d3524,16.4
FHV,10613addbe66c9cf707f22edacf38a6c,5.153846154
FHV,1063c9beb2d6716dcffce32ac79e83cc,13.94117647
FHV,1072f226690a543aa114e07b0a8f0836,11.59375
FHV,10a6c4c48163bad89ddbaa6df0bd2d6c,10.11111111
FHV,10b2ec120c4efaa15ae0a4cb3bdba50c,8.083333333
FHV,10db9940d1fd3952df95524fc0427504,18.375
FHV,1118a010842daa1c22cb7eb5a23eea90,3.285714286
FHV,112c437a8f9c16bfa24d58478ee07aba,4.875
FHV,1160044a99365fa4ae6ef9a61f556fcf,25.23076923
FHV,118e4916abe58d3c6ce57ddcbc165f22,48.5
FHV,119b12e22032c56491e9ef5afc16a03c,28.04166667
FHV,121aad012238a9383a9579916c952ea9,11.4
FHV,122c17d76c9360467a48406d3e99aca0,13.85714286
FHV,1230eecf1b2e9abb169f0401edbb3ebf,4
FHV,1231e308466293cea267e0306ea63764,3.666666667
FHV,123973d632cfe8f7c2d0b12f322f8056,1
FHV,124512e9cb74cb3174e596abb1664250,8
FHV,127641bc578dc097d3beed32c4deb66a,3.733333333
FHV,12a672234ae9e1ecc308630963f6c3d9,16.24
FHV,12ae9a5983b37117112b75b5fa7b6668,12.7
FHV,1311ae0e47fe0e9eca809364f4349a34,7.666666667
FHV,134a12f17c2d98ba67a23d7f8ead8838,5
FHV,13755b82ca3a57fb77aa6679c65f2284,8
FHV,13a1fdaa6249a0f4a20887dc5f5910dd,4.666666667
